id,url,title,price,price_numeric,location,listing_area_m2,listing_zone,listing_type,cost_per_sqm,lat,lng,road_distance_m,road_type,slope_pct,slope_class,district,municipality,parcel_number,sheet,plan,block,parcel_area_m2,planning_zone,planning_zone_desc,substation_el,substation_en,substation_id,hosting_capacity_mw,res_total_mw,available_capacity_mw
5608761,https://www.bazaraki.com/adv/5608761_residential-land-594-m2/?p=19,Residential Plot 594 m²,€130.000,130000,"Larnaca, Perivolia Larnakas",594,H2,Residential,218.86,34.82730438470763,33.56294232320718,191,tertiary,0.5,flat,LARNAKA,"DROMOLAXIA - MENEOU, KITI",110,0,2-251-355,2,5155,Ζ1,ΖΩΝΗ ΠΡΟΣΤΑΣΙΑΣ,Ε.Β.ΖΩΝΗ,FREE INDUSTRIAL ZONE,FIZ,58.81713,58.81713,0
5866479,https://www.bazaraki.com/adv/5866479_residential-land-1270-m2/?p=69,Residential Plot 1270 m²,€350.000,350000,"Limassol, Panthea",1270,,Residential,275.59,34.7316709,33.0396611,157,residential,13.1,moderate,LEMESOS,"AMATHOUNTA, AG. ATHANASIOS",249,54,34,0,3122,Βδ5,ΒΙΟΤΕΧΝΙΚΗ ΖΩΝΗ ΚΑΤ. Β,ΑΓΙΑ ΦΥΛΑ,AY.PHYLA,AYPH,66.32,22.600093,43.719907
4549861,https://www.bazaraki.com/adv/4549861_residential-land-594-m2/?p=32,Residential land 594 m²,€99.000,99000,"Nicosia, Dali - Panag Evangelistria",594,90%,Residential,166.67,35.023250985779576,33.41380844424234,35,residential,2.2,flat,LEFKOSIA,"NOTIA L/SIA - IDALION, IDALION",207,30,64E2,7,1633,Κα8,ΠΕΡΙΟΧΕΣ ΜΕ ΕΠΙΚΡΑΤΟΥΣΑ ΧΡΗΣΗ ΤΗΝ ΚΑΤΟΙΚΙΑ,ΑΛΑΜΠΡΑ,ALAMBRA,ALAM,52.664205,52.664205,0
4889314,https://www.bazaraki.com/adv/4889314_residential-land-1262-m2/?p=105,Residential land 1262 m²,€2.280.000,2280000,"Limassol, Germasogeia",1262,,Residential,1806.66,34.69897806503496,33.05057425327404,22,residential,2.7,flat,LEMESOS,"LEMESOS, MESA GEITONIA",,,,,,Κα5,ΠΕΡΙΟΧΕΣ ΜΕ ΕΠΙΚΡΑΤΟΥΣΑ ΧΡΗΣΗ ΤΗΝ ΚΑΤΟΙΚΙΑ,ΑΓΙΟΣ ΑΘΑΝΑΣΙΟΣ,AYIOS ATHANASIOS,ATHN,49.79,17.281313,32.508687
5499624,https://www.bazaraki.com/adv/5499624_residential-land-521-m2/?p=105,Residential Plot 521 m²,€120.000,120000,"Famagusta, Deryneia",521,Κα6,Residential,230.33,35.06999351913319,33.95966275903294,26,residential,3.1,flat,AMMOCHOSTOS,"PARALIMNI - DERYNEIA, DERYNEIA",1627,33,37W2,0,561,Κα5,ΖΩΝΗ ΜΕ ΕΠΙΚΡΑΤΟΥΣΑ ΧΡΗΣΗ ΤΗΝ ΚΑΤΟΙΚΙΑ,ΜΕΛΙΖΟΝΑ,MELIZONA,MELI,45.6,9.868421,35.731579
6022824,https://www.bazaraki.com/adv/6022824_agricultural-land-31439-m2/?p=23,Agricultural Field 31439 m²,€65.000  €70.000,65000,"Larnaca, Lefkara Pano",31439,Δα2,Agricultural,2.07,34.87982461892842,33.3019764252376,78,secondary,10.3,moderate,LARNAKA,"LEFKARA, PANO LEFKARA",1184,49,12,0,31446,Δα2,"ΖΩΝΗ ΠΡΟΣΤΑΣΙΑΣ (Ελεύθεροι Χώροι πρασίνου, πάρκα κτλ)",ΚΟΦΙΝΟΥ,KOPHINOU,KOPH,46.26509,46.26509,0
5451852,https://www.bazaraki.com/adv/5451852_agricultural-land-3352-m2/?p=6,Agricultural Field 3352 m²,€65.000,65000,"Limassol, Kouka",3352,Γ3,Agricultural,19.39,34.85147785374523,32.87762473085834,206,tertiary,11.5,moderate,LEMESOS,PERA PEDI,336,47,28,0,12097,Γ3,ΓΕΩΡΓΙΚΗ ΖΩΝΗ,ΝΕΑ ΤΡΙΜΙΚΛΙΝΙ,NEW-TRIMIKLINI,NTRI,25.420974,25.420974,0
5592471,https://www.bazaraki.com/adv/5592471_residential-land-1167-m2/?p=62,,,,,1167,,Residential,,34.727462,33.127533,27,residential,22.5,steep,LEMESOS,AGIOS TYCHON,58,0,2-211-344,7,8780,Η5,ΚΑΤΟΙΚΙΑ,ΑΜΑΘΟΥΣ,AMATHUS,AMAT,45.57,5.194365,40.375635
6077285,https://www.bazaraki.com/adv/6077285_residential-land-521-m2/?p=4,Residential land 521 m²,€400.000,400000,"Limassol, Ekali",521,,Residential,767.75,34.70156070818216,33.01804302223688,11,residential,4.0,flat,LEMESOS,"LEMESOS, LEMESOS",,,,,,Κα6,ΠΕΡΙΟΧΕΣ ΜΕ ΕΠΙΚΡΑΤΟΥΣΑ ΧΡΗΣΗ ΤΗΝ ΚΑΤΟΙΚΙΑ,ΑΓΙΑ ΦΥΛΑ,AY.PHYLA,AYPH,66.32,22.600093,43.719907
4269320,https://www.bazaraki.com/adv/4269320_agricultural-land-112526-m2/?p=92,Agricultural land 112526 m²,€630.000,630000,"Limassol, Germasogeia",112526,,Agricultural,5.6,34.70085710749035,33.05735494383848,23,residential,4.9,flat,LEMESOS,"LEMESOS, MESA GEITONIA",575,54,510101,8,1554,Κα5,ΠΕΡΙΟΧΕΣ ΜΕ ΕΠΙΚΡΑΤΟΥΣΑ ΧΡΗΣΗ ΤΗΝ ΚΑΤΟΙΚΙΑ,ΑΓΙΟΣ ΑΘΑΝΑΣΙΟΣ,AYIOS ATHANASIOS,ATHN,49.79,17.281313,32.508687
